Lemma	POS	Description
aquilifer	12	
Aquilius	12	
aquilo	13	
aquor	5J	
aquosus	21	
aquula	11	
ara	11	
arachne	17	
araeostylos	27	
aranea	11	
araneosus	21	
araneus1	12	
araneus2	21	
aratio	13	
arator	13	
aratrum	12	
arbiter	12	
arbitra	11	
arbitratus	14	
arbitrium	12	
arbitror	5J	
arbor	13	
arborarius	21	
arboreus	21	
arbuscula	11	
arbustiuus	21	
arbustum	12	
arbuteus	21	
arbutum	12	
arbutus	12	
arca	11	
Arcades	13	
Arcadia	11	
Arcadicus	21	
arcano	60	
arcanum	12	 La Chose secrète (Sg.,Pl.)
arcanus	21	
arcatus1	12	
arcatus2	21	
arceo	52	
arcessitus1	14	
arcessitus2	21	
arcesso	53	
Archagathus	12	
archetypus	21	
archimagirus	12	
Archimedes	17	
archipirata	11	
architecto	51	
architectonicus	21	
architector1	13	
architector2	5J	
architectura	11	
architectus	12	
Archonidas	17	
arcitenens1	13	
arcitenens2	25	
arctos	17	
arctous	21	
arcula	11	
arcus	14	
ardea	11	
Ardea	11	
ardens	25	 Brûlant (propre et Fig.)
ardenter	60	
ardeo	52	
ardesco	53	
ardor	13	
arduum	12	 =LOCVS ARDVVS (Sg.,Pl.);=DIFFICVLTAS
arduus	21	
area	11	
arefacio	55	 (forme en 1 ou 2 mots)
arena	11	
arenarium	12	
arenatio	13	
arenatum	12	
arenatus	21	
arenosus	21	
areo	52	 (pas de Sous-lemme)
aresco	53	
aretalogus	12	
Arethusa	11	
Areus	12	
Argei	12	
argentaria	11	
argentarius1	12	
argentarius2	21	
argenteus1	12	 La Monnaie d'argent
argenteus2	21	
argentifodina	11	
argentum	12	
Argiletum	12	
argilla	11	
argumentatio	13	
argumentor	5J	
argumentum	12	
arguo	53	
argutatio	13	
argute	60	
argutia	11	
arguto	51	
argutus	21	
Aricia	11	
Aricini	12	
Aricinus	21	
arida	11	 =TERRA
aridulus	21	
aridum	12	 =TERRA SICCA
aridus	21	
aries	13	
arietarius	21	
arieto	51	
Ariminenses	13	
Ariminum	12	
arista	11	
Aristaeus	12	
Aristeus	12	
Aristides	17	
Aristodamus	12	
Aristodemus	12	
Aristoteles	17	
Aristus	12	
arithmetica	17	
arma	12	
armamaxa	11	
armamentarium	12	
armamentum	12	
armarium	12	
armati	12	 =HOMINES ARMATI
armatura	11	
armatus1	14	
armatus2	21	 Armé (propre et Fig.)
armentarius1	12	
armentarius2	21	
armentum	12	
armifer	21	
armiger1	12	
armiger2	21	
armilla	11	
armipotens	25	
armisonus	21	
armo	51	
armus	12	
aro	51	
arrectarium	12	
arrectus	21	
arrepo	53	
arrideo	52	
arrigo	53	
arripio	55	
arrisor	13	
Arrius	12	
arrodo	53	
arrogans	25	 Arrogant
arroganter	60	
arrogantia	11	
arrogo	51	
arrosor	13	
Arruns	13	
ars	13	
arsenicon	17	
Arsia	11	
arsineum	12	
Arsinoe	17	
arte	60	 également forme ARCTE
Artemidorus	12	
artemo	13	
Artemo	17	
arteria	16	
arteriace	17	
articularius	21	
articulatim	60	
articulo	51	
articulus	12	
artifex	13	
artificiose	60	
artificiosus	21	
artificium	12	
artio	54	
arto	51	
artocreas	17	
artopta	11	
artum	12	 (Uniquement au Sg. dans les locutions avec Prép.)
artus1	14	
artus2	21	
arula	11	
arundinetum	12	
arundinosus	21	
arundo	13	
aruum	12	
arx	13	
as	13	
Ascanius	12	
ascendo	53	
ascensio	13	
ascensus	14	
ascia	11	
ascio1	51	
ascio2	54	
ascisco	53	
ascitus1	14	
ascitus2	21	 Que l'on a reçu, qui ne vient pas de la nature
ascribo	53	
ascripticius	21	
ascriptio	13	
asella	11	
asellus	12	
Asellus	12	
Asia	11	
Asiaticus	21	
asilus	12	
asinarius1	12	
asinarius2	21	
asininus	21	
Asinius	12	
asinus	12	
asotus	21	
asparagus	12	
aspecto	51	
aspectus	14	
Aspendius	21	
Aspendus	17	
asper	21	
aspera	12	 =LOCA ASPERA; RES ADVERSAE Uniquement PL)
aspere	60	
aspergo1	13	
aspergo2	53	
asperitas	13	
aspernatio	13	
aspernor	5J	
aspero	51	
asperum	12	
asphaltitis	27	
aspicio	55	
aspiro	51	
aspis	17	
asplenos	17	
asportatio	13	
asporto	51	
assarius	21	
assecla	11	
assectator	13	
assector2	5J	
assensio	13	
assensor	13	
assensus	14	
assentatio	13	
assentator	13	
assentio	54	
assentior	5M	
assentor	5J	
assequor	5L	
asser	13	
asserculum	12	
assero2	53	 (Parfait:-SERVI;pas de Sous-lemme ASSERTVS)
assero3	53	 (Parfait:-SEVI)
assertor	13	
asseruo	51	
assessor	13	
asseueratio	13	
asseuero	51	
assicco	51	
assideo	52	 (-SEDI, -SESSVM)
assido	53	 Uniquement pour les formes de la 3ème Conj.)
assidue	60	
assiduitas	13	
assiduus	21	
assigno	51	
assilio	54	
assimilis	24	
assimulatio	13	
assimulo	51	
assisto	53	
assoleo	55	
